parent_id,parent_name
2778,Wasatch (Clarkston Mountain)
2789,Wasatch (Collinston)
2782,Wasatch (East Bench)
2786,Wasatch (Fayette)
2791,Wasatch (Foothills)
2785,Wasatch (Levan)
2229,Wasatch (Malad City)
2787,"Wasatch (Nephi, north)"
2784,"Wasatch (Nephi, south)"
2783,"Wasatch (Provo, north)"
2790,"Wasatch (Provo, south)"
2792,"Wasatch (Salt Lake City, north)"
2793,"Wasatch (Salt Lake City, south)"
2788,Wasatch (Virginia Street)
2781,Wasatch (Weber)
2494,Washburn Ranch
2777,Washington (Fort Pearce)
1120,Wassuk Range
2542,Wecoma
1272,Wellington Hills (unnamed)
2586,West Baker Valley (center)
2587,West Baker Valley (southeast)
2714,West Cache (Clarkston)
2716,West Cache (Junction Hills)
2715,West Cache (Wellsville)
2608,West Delaware Mountains
1276,West Dry Lake
2609,West Eagle Mountains - Red Hills
2495,West Florida Mountains
1126,West Gate
2588,West Grand Ronde Valley
2610,West Indio Mountains
2611,West Lobo Valley
295,West Napa
2230,West Pocatello Valley
1278,West Specter Range
1127,West Spring Mountains
296,West Tahoe
353,West Tracy
2717,West Valley
2231,Western Bear Lake
1280,Western Bull Run Mountains
1281,Western Fairview Peak
1122,Western Granite Range
1123,Western Humboldt Range
1282,Western Reveille Range
1283,Western Roberts Mountains
1284,Western Tecoma Valley
1125,Western Toiyabe Range
2543,Whaleshead
1285,Wheeler Peak
2590,White Branch
297,White Mountains
1128,White River Valley
1264,White River Valley (unnamed)
298,White Wolf
299,White Wolf (extension)
300,Whittier
1287,Wildcat Wash
2849,Willapa Bay (north)
2850,Willapa Bay (south)
2103,Williams Fork Mountains
2544,Winter Rim
2545,Yaquina
303,Yorba Linda
1288,Yucca - Boundary
1289,Yucca Mountains (east)
1290,Yucca Mountains (west)
304,Zayante - Vergeles
2429,Zia
